watch_name,type_gender,brand,watch_color,watch_size,length_of_band,price,image_url
Rolex Combi Diamond Watch (116233),M,Rolex,yellow combination,18,36,12800,https://s.turbifycdn.com/aah/movadobaby/rolex-oyster-perpetual-datejust-116233-5383.jpg
Tudor Glamor Diamond Steel Watch (56000),M,TUDOR,steel,16,39,2600,https://img.chrono24.com/images/uhren/36463896-1c6werkaft8455xzmfqubrou-ExtraLarge.jpg
Hermes H Hour Steel Watch (HH1.210),F,Hermes,other,16,25.5,1750,https://img.chrono24.com/images/uhren/36199986-b896vrtbnbvoypb0jb4n9xo2-ExtraLarge.jpg
Rolex Combi Diamond Watch (179383),F,Rolex,yellow combination,17,26,17500,https://cdn2.bobswatches.com/_/q:50/sh:0.5/s:252:0:1/dpr:2/plain/images/carousel/Sub-carousel-23.jpg
Longines Master Collection Chrono Steel Watch (L2.773.4),M,LONGINES,steel,16,42,2600,https://cdn.watchbase.com/watch/lg/longines/mini/l2-303-0-87-2-72.jpg
Vacheron Constantin Overseas Steel Diamond Watch,F,Vacheron constantin,steel,17,33,17500,https://cdn11.bigcommerce.com/s-8acpxiqmze/images/stencil/500x659/products/3156/5975/BTKA_17190197897140157_3bfc54e41637f7830f459280e9dfbe__18655.1719325355.jpg?c=1
Zenith Defy Elprimero21 Chrono Titanium Watch (95.9000.9004),M,ZENITH,black,19,45,10500,https://cdn11.bigcommerce.com/s-8acpxiqmze/images/stencil/500x659/products/1269/1263/original__37694.1624723327.jpg?c=1
Rolex Steel Watch (126234),M,Rolex,steel,19,36,12000,https://img.chrono24.com/images/uhren/36002047-dn4ube3xulyp3rxvsjc08fd9-ExtraLarge.jpg
Longines Mini Dia Steel Watch (L2.303.0),F,LONGINES,black,16,16,600,https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/c/h/chanel-premiere-black-dial-stainless-steel-diamond-ladies-watch-h3254.jpg?width=546&height=546
Oris Ackers Steel Watch,M,Oris,steel,17,43,950,https://cdn11.bigcommerce.com/s-bc02e/images/stencil/500x659/products/113017/124910/s-l1600__36305.1719861689.jpg?c=2
Chanel Premier Diamond Steel Watch,F,Chanel,white,16,17.5,3600,https://cdn11.bigcommerce.com/s-bc02e/images/stencil/500x659/products/41323/92296/116681__24899.1507744907.jpg?c=2
Jaeger Lecoultre Rendezvous Diamond Steel Watch (3448410),Both,Jaeger leCoultre,navy,14,34,8200,https://content.thewosgroup.com/productimage/17310091/17310091_1.jpg?impolicy=hero&imwidth=700
Rolex Yachtmaster 2 Steel Watch (116680),M,Rolex,steel,19,44,23300,https://www.luxuryofwatches.com/rolex-yacht-master-ii-116680/
Cartier Tank Louis Gold Watch (Small),F,Cartier,other,16,22,9500,https://www.mayors.com/Cartier-Tank-Louis-Cartier-Watch-Small-Model..-Quartz-Movement..-Yellow-Gold..-Leather-W1529856/p/17310091
Hermes Pazpas watch (PP1.210),F,Hermes,black,17,26,850,https://www.ebay.com/itm/326150837571
Bulgari BB Combi Watch (BB26SG),F,Bvlgari,yellow combination,14,26,1360,https://www.ebay.com/itm/395020361052
Bulgari BB Steel Watch (BB38SSAUTO),M,Bvlgari,steel,15,38,1850,https://alexanderscolumbus.com/products/bvlgari-bvlgari-stainless-steel-automatic-watch-reference-bb-38-ss
Rolex Yachtmaster 2 Chrono Combi Watch (116681),M,Rolex,pink combination,18,43,32800,https://www.authenticwatches.com/rolex-yacht-master-116681.html
Rolex Submariner Combination Watch (116613),M,Rolex,yellow combination,19,40,18400,https://www.bobswatches.com/rolex-blog/watch-review/submariner-116613-sunburst-dial.html
Bulgari B.zero1 Diamond Watch (BZ22S),F,Bvlgari,other,13,22,1000,https://www.ebay.com/itm/203652215292
Omega Seamaster Planet Ocean Steel Watch,M,OMEGA,steel,18,42,2950,https://www.reeds.com/omega-seamaster-planet-ocean-600m-co-axial-master-chronometer-stainless-steel-watch-43-5mm-o21530442101001-plu19668904.html
Rolex Datejust Steel Watch (179160),F,Rolex,steel,16,26,6000,https://www.authenticwatches.com/rolex-datejust-179160-slvsdj.html
IWC Portofino Diamond Steel Watch (IW458101),F,IWC,other,17,37,4237,https://www.watchmaxx.com/iwc-watch-iw458101-cd
Cartier Ballon Bleu Chrono Steel Watch,M,Cartier,black,19,44,4800,https://www.authenticwatches.com/cartier-ballon-bleu-chrono-w6920002.html
Cartier Tank Francaise Combi Watch,F,Cartier,yellow combination,13,22.5,3000,https://www.ebay.com/itm/387406173735
Montblanc Smartwatch Steel Watch,M,MontBlanc,black,18,4,350,https://www.montblanc.com/variants/images/1647597287182224/A/w747.jpg
Rolex Datejust Combination Watch (116233),M,Rolex,yellow combination,16,36,12000,https://www.authenticwatches.com/rolex-oyster-perpetual-datejust-116233-svjdfj.html
Rolex Combi Watch (179173),F,Rolex,yellow combination,16,26,9600,https://www.jawajewelers.com/products/rolex-datejust-26mm-18k-yellow-gold-black-dial-jubilee-stainless-steel-watch-179173
Chanel Lahonde Steel Watch,F,Chanel,black,16,29,750,https://www.vestiairecollective.com/women-accessories/watches/chanel/white-steel-ronde-chanel-watch-45970798.shtml
Cartier Claire de Diamonds Gold Watch,F,Cartier,green,16,32,15000,https://www.jaztime.com/cartier-panthere-au-claire-de-lune-de-cartier-rose-gold-diamonds-42mm-blue-dial-hpi00712
Piaget Emperado White Gold Watch,Both,Piaget,other,18,29.5,7600,https://www.moyerfinejewelers.com/products/piaget-emperador-cushion-gmt-g0a32016-limited-edition-18k-white-gold
Hermes H Hour Diamond Watch (HH1.230),F,Hermes,black,16,21,4500,https://www.tourneau.com/watches/pre-owned-hermes/h-hour-stainless-steel-quartz-hh1.230-VHR9700004.html
Hermes Slim Dermes Steel Watch (CA2.110),F,Hermes,other,16,25,1850,https://www.ebay.com/itm/204796159820
Rolex Day Date Diamond Gold Watch (128348),M,Rolex,yellow gold,17,36,61500,https://diamondsourcenyc.com/products/rolex-128348rbr-0008
Vacheron Constantin Traditional Worldtime Gold Watch,M,Vacheron constantin,other,18,42,28300,https://worldofluxuryus.com/products/vacheron-constantin-traditionnelle-world-time-18kt-rose-gold-mens-watch-1
Rolex Datejust Steel Watch (116234),M,Rolex,steel,16,36,10400,https://www.watchguynyc.com/products/rolex-datejust-36-black-index-dial-steel-unisex-watch-116234
Rolex Combi Watch (126231),M,Rolex,pink combination,17,36,17000,https://www.authenticwatches.com/rolex-datejust-36-126231-0040.html
Hermes Cape Cod Steel Watch (CC2.710),Both,Hermes,other,17,35,2350,https://mygemma.com/products/123548-hermes-cape-cod-cc2-710-unisex-watch-in-stainless-steel
